"Step","12_sazut-tonat-zanohripok - episodic_return","12_sazut-tonat-zanohripok - episodic_return__MIN","12_sazut-tonat-zanohripok - episodic_return__MAX"
"560233","13","13","13"
"560446","13","13","13"
"560613","2","2","2"
"560920","13","13","13"
"562056","13","13","13"
"562237","13","13","13"
"562357","13","13","13"
"562405","13","13","13"
"562629","13","13","13"
"563327","13","13","13"
"563352","13","13","13"
"563451","13","13","13"
"563706","13","13","13"
"564145","13","13","13"
"564754","2","2","2"
"566833","13","13","13"
"567889","13","13","13"
"568321","13","13","13"
"568712","13","13","13"
"570136","13","13","13"
"570193","13","13","13"
"570527","13","13","13"
"571188","13","13","13"
"571258","13","13","13"
"571311","13","13","13"
"571505","13","13","13"
"571646","13","13","13"
"571746","13","13","13"
"572312","13","13","13"
"573105","13","13","13"
"573128","13","13","13"
"573438","13","13","13"
"573912","13","13","13"
"574656","13","13","13"
"576088","13","13","13"
"576305","13","13","13"
"577030","13","13","13"
"577280","13","13","13"
"577432","13","13","13"
"578417","13","13","13"
"578489","13","13","13"
"578800","13","13","13"
"579270","13","13","13"
"579961","13","13","13"
"581881","13","13","13"
"582013","13","13","13"
"582214","13","13","13"
"582910","13","13","13"
"583017","13","13","13"
"583408","13","13","13"
"583942","13","13","13"
"584161","13","13","13"
"586055","3","3","3"
"586246","13","13","13"
"588287","13","13","13"
"588317","2","2","2"
"588769","13","13","13"
"588970","2","2","2"
"589020","13","13","13"
"589303","2","2","2"
"590236","13","13","13"
"591485","3","3","3"
"591831","3","3","3"
"591991","13","13","13"
"592172","13","13","13"
"593151","13","13","13"
"593389","3","3","3"
"593677","3","3","3"
"593900","13","13","13"
"594139","2","2","2"
"594775","13","13","13"
"594866","13","13","13"
"595300","2","2","2"
"595575","13","13","13"
"596265","13","13","13"
"596576","2","2","2"
